Projeto_ID,Projeto_name,Duracao_meses,Orcamento_R$,Tamanho_da_Equipe,RecursosDisponiveis,cargoFuncionario,Sucesso
PROJ_0001,App de Atendimento Web,6.8,214470.76,2,baixo,Arquiteto de Software,1
PROJ_0002,App de Delivery Web,6.1,265575.65,3,alto,Coordenador de TI,1
PROJ_0003,Plataforma IoT,4.3,146486.27,2,baixo,Consultor Técnico,0
PROJ_0004,Portal do Cliente,4.3,160852.96,2,baixo,Gerente de Projetos,1
PROJ_0005,Sistema de Gestão Empresarial Plus,4.1,93408.17,2,alto,Consultor Técnico,0
PROJ_0006,Sistema de Manutenção Plus,4.0,149801.52,2,baixo,Consultor Técnico,1
PROJ_0007,Portal de Fornecedores Mobile,7.9,281033.84,2,baixo,Arquiteto de Software,0
PROJ_0008,Sistema de Segurança,5.9,201017.05,3,baixo,Analista de Sistemas,1
PROJ_0009,Sistema de Backup,2.8,80450.47,2,médio,Arquiteto de Software,1
PROJ_0010,Plataforma E-commerce Pro,7.1,355154.94,3,médio,Coordenador de TI,1
PROJ_0011,Portal do Cliente,6.3,221311.83,3,médio,Tech Lead,1
PROJ_0012,Portal de Treinamento,8.0,345274.24,3,alto,Arquiteto de Software,1
PROJ_0013,Sistema de Segurança Advanced,5.2,277867.22,4,baixo,Consultor Técnico,1
PROJ_0014,Sistema de Estoque,2.8,108474.28,2,médio,Gerente de Desenvolvimento,1
PROJ_0015,Portal do Cliente,3.7,159680.07,2,alto,Líder Técnico,0
PROJ_0016,Sistema de Compras,10.3,400045.78,3,baixo,Líder Técnico,1
PROJ_0017,Sistema de RH,6.2,208186.76,2,baixo,Gerente de Projetos,1
PROJ_0018,Plataforma IoT Pro,6.6,249006.84,2,médio,Coordenador de TI,0
PROJ_0019,Portal de Treinamento V2,2.4,62064.94,2,médio,Gerente de Desenvolvimento,1
PROJ_0020,Portal Interno,6.7,180422.3,2,alto,Tech Lead,1
PROJ_0021,Dashboard Analytics,9.2,684746.59,4,médio,Desenvolvedor Senior,1
PROJ_0022,Plataforma IoT Web,3.5,94087.93,2,baixo,Coordenador de TI,0
PROJ_0023,Sistema de Manutenção,2.7,80390.77,2,médio,Consultor Técnico,0
PROJ_0024,Portal de Documentos Advanced,4.4,219876.71,2,baixo,Gerente de Desenvolvimento,0
PROJ_0025,Portal Interno,6.0,219114.44,3,alto,Consultor Técnico,0
PROJ_0026,App de Delivery,2.8,127340.97,2,alto,Gerente de Projetos,0
PROJ_0027,App de Delivery,3.9,174309.21,2,baixo,Tech Lead,1
PROJ_0028,App de Monitoramento Plus,5.8,194498.01,2,alto,Líder Técnico,1
PROJ_0029,Sistema de Compras,9.3,413581.26,2,médio,Desenvolvedor Senior,1
PROJ_0030,App de Atendimento,2.9,123346.33,2,alto,Especialista em Dados,1
PROJ_0031,Plataforma E-commerce Plus,5.4,244266.67,3,alto,Consultor Técnico,1
PROJ_0032,Sistema de Produção Mobile,5.4,279143.89,2,alto,Gerente de Desenvolvimento,1
PROJ_0033,Sistema de Compras,6.7,257729.41,2,médio,Tech Lead,0
PROJ_0034,App de Delivery,3.5,164789.3,2,médio,Analista de Sistemas,1
PROJ_0035,Plataforma de Vendas,5.5,234703.78,2,alto,Gerente de Projetos,1
PROJ_0036,Portal de Treinamento Web,8.3,408239.05,2,médio,Analista de Sistemas,0
PROJ_0037,Sistema de Segurança,7.0,658878.5,4,médio,Líder Técnico,1
PROJ_0038,Portal do Cliente,5.8,199251.64,2,baixo,Líder Técnico,1
PROJ_0039,Sistema de Qualidade,4.3,249895.36,3,baixo,Consultor Técnico,1
PROJ_0040,Portal de Treinamento,16.1,3008664.92,8,médio,Coordenador de TI,1
PROJ_0041,Plataforma IoT,3.9,81034.75,2,alto,Arquiteto de Software,1
PROJ_0042,App de Comunicação,3.7,136304.18,3,médio,Coordenador de TI,1
PROJ_0043,Sistema CRM,3.0,121063.62,2,médio,Especialista em Dados,1
PROJ_0044,Sistema de Gestão Empresarial,3.8,78166.54,2,baixo,Arquiteto de Software,1
PROJ_0045,Plataforma de Vendas,6.6,257074.68,3,médio,Consultor Técnico,1
PROJ_0046,App de Controle de Acesso Web,2.4,73310.83,2,médio,Arquiteto de Software,1
PROJ_0047,Plataforma de BI,9.3,316823.22,3,médio,Líder Técnico,1
PROJ_0048,Sistema de RH Plus,7.3,248158.72,2,médio,Consultor Técnico,1
PROJ_0049,App de Comunicação,5.0,188892.33,2,baixo,Gerente de Projetos,1
PROJ_0050,Sistema de Manutenção,4.2,141886.4,2,alto,Gerente de Projetos,1
PROJ_0051,Sistema de Estoque,6.3,292422.36,2,alto,Arquiteto de Software,1
PROJ_0052,App de Delivery Mobile,7.0,302642.87,2,médio,Coordenador de TI,0
PROJ_0053,Portal do Cliente,7.0,254248.84,2,alto,Coordenador de TI,1
PROJ_0054,App de Comunicação,5.4,288209.31,3,médio,Analista de Sistemas,1
PROJ_0055,Plataforma E-commerce,6.2,235245.84,2,médio,Consultor Técnico,1
PROJ_0056,Dashboard Analytics Mobile,9.5,430627.79,2,baixo,Gerente de Desenvolvimento,0
PROJ_0057,Sistema de RH,5.5,220543.88,2,baixo,Desenvolvedor Senior,1
PROJ_0058,Sistema de Backup,7.2,400860.44,4,baixo,Tech Lead,1
PROJ_0059,Sistema de Qualidade,4.3,182622.79,2,médio,Especialista em Dados,0
PROJ_0060,Sistema de Estoque V2,3.9,241382.88,3,médio,Tech Lead,0
PROJ_0061,Sistema de Gestão Empresarial,5.3,147529.01,2,baixo,Desenvolvedor Senior,1
PROJ_0062,Portal de Relatórios V2,9.8,823063.86,4,baixo,Gerente de Projetos,0
PROJ_0063,App de Delivery V2,5.9,249685.74,2,médio,Tech Lead,0
PROJ_0064,Portal do Cliente,4.3,361980.0,4,baixo,Arquiteto de Software,1
PROJ_0065,Plataforma IoT,14.8,611492.0,3,médio,Consultor Técnico,1
PROJ_0066,Plataforma E-commerce,2.4,79679.85,2,alto,Líder Técnico,1
PROJ_0067,Portal de Relatórios,3.0,155308.21,3,baixo,Especialista em Dados,1
PROJ_0068,Sistema de Segurança,6.2,312727.27,2,alto,Coordenador de TI,1
PROJ_0069,Sistema de Estoque,2.7,128076.74,2,alto,Tech Lead,0
PROJ_0070,Portal de Fornecedores,11.0,827506.92,4,médio,Gerente de Projetos,1
PROJ_0071,Plataforma IoT,5.7,227465.67,2,médio,Coordenador de TI,1
PROJ_0072,App Mobile de Vendas,6.0,597647.83,5,médio,Tech Lead,1
PROJ_0073,Sistema de Segurança,4.7,191163.85,3,médio,Desenvolvedor Senior,1
PROJ_0074,Sistema de RH Advanced,4.3,139708.51,2,médio,Analista de Sistemas,1
PROJ_0075,Portal de Fornecedores Advanced,4.7,182277.74,2,médio,Desenvolvedor Senior,0
PROJ_0076,Portal de Treinamento,5.3,212538.08,2,médio,Especialista em Dados,1
PROJ_0077,Sistema de Segurança,3.0,68199.12,2,baixo,Consultor Técnico,1
